#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","677","01","677"
"02","978","02","978"
"03","951","03","951"
"04","794","04","794"
"05","669","05","669"
"06","63","06","63"
"07","0","07","0"
"08","778","08","778"
"09","903","09","903"
"10","859","10","859"
"11","1019","11","1019"
"12","523","12","523"
"13","51","13","51"
"14","1","14","1"
"15","1122","15","1122"
"16","1166","16","1166"
"17","835","17","835"
"18","769","18","769"
"19","1055","19","1055"
"20","268","20","268"
"21","17","21","17"
"22","864","22","864"
"23","1185","23","1185"
"24","977","24","977"
"25","1103","25","1103"
"26","1358","26","1358"
"27","169","27","169"
"28","41","28","41"
"29","819","29","819"
"30","909","30","909"
"31","754","31","754"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","2"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","503","User Information List","136"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
