"SourceSite","TargetSite","Size_In_MB_Source","Size_In_MB_Target","Size_In_GB_Source","Size_In_GB_Target"
"http://eclipsedm.willis.com/2012/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201203","88.2891","93.4519","0.0862","0.0913"
"http://eclipsedm.willis.com/2012/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201204","1176.8644","1184.5593","1.1493","1.1568"
"http://eclipsedm.willis.com/2012/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201205","3505.842","3524.1172","3.4237","3.4415"
"http://eclipsedm.willis.com/2012/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201206","2769.0741","2779.6089","2.7042","2.7145"
"http://eclipsedm.willis.com/2012/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201207","4154.3051","4176.8006","4.0569","4.0789"
"http://eclipsedm.willis.com/2012/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201208","5992.2073","6019.3755","5.8518","5.8783"
"http://eclipsedm.willis.com/2012/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201209","4502.8973","4519.6989","4.3974","4.4138"
"http://eclipsedm.willis.com/2012/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201210","6275.4679","6304.1323","6.1284","6.1564"
"http://eclipsedm.willis.com/2012/11","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211","8000.5807","8029.896","7.8131","7.8417"
"http://eclipsedm.willis.com/2012/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201212","7921.9527","7949.8263","7.7363","7.7635"
"http://eclipsedm.willis.com/2013/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201301","15715.5061","15776.3091","15.3472","15.4066"
"http://eclipsedm.willis.com/2013/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201302","11831.2286","11882.5416","11.5539","11.604"
"http://eclipsedm.willis.com/2013/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201303","10022.4344","10052.1175","9.7875","9.8165"
"http://eclipsedm.willis.com/2013/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201304","14617.3817","14655.6485","14.2748","14.3122"
"http://eclipsedm.willis.com/2013/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201305","10288.0739","11517.6883","10.0469","11.2477"
"http://eclipsedm.willis.com/2013/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201306","8563.8714","8631.4853","8.3632","8.4292"
"http://eclipsedm.willis.com/2013/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201307","13170.4503","13206.4865","12.8618","12.897"
"http://eclipsedm.willis.com/2013/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201308","9358.504","9411.0028","9.1392","9.1904"
"http://eclipsedm.willis.com/2013/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201309","8215.6749","8248.8074","8.0231","8.0555"
"http://eclipsedm.willis.com/2013/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201310","13560.8397","13608.4892","13.243","13.2895"
"http://eclipsedm.willis.com/2013/11","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201311","15163.7861","15223.2483","14.8084","14.8665"
"http://eclipsedm.willis.com/2013/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201312","18602.083","18688.5243","18.1661","18.2505"
"http://eclipsedm.willis.com/2014/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201401","29018.0836","29181.5556","28.338","28.4976"
"http://eclipsedm.willis.com/2014/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201402","20008.5516","20171.4061","19.5396","19.6986"
"http://eclipsedm.willis.com/2014/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201403","21566.5104","21679.6577","21.061","21.1715"
"http://eclipsedm.willis.com/2014/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201404","24113.5721","24230.1022","23.5484","23.6622"
"http://eclipsedm.willis.com/2014/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201405","25721.9475","25881.8794","25.1191","25.2753"
"http://eclipsedm.willis.com/2014/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201406","21244.8749","21432.6814","20.7469","20.9304"
"http://eclipsedm.willis.com/2014/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201407","27474.0946","27644.571","26.8302","26.9967"
"http://eclipsedm.willis.com/2014/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201408","18996.011","19173.3971","18.5508","18.724"
"http://eclipsedm.willis.com/2014/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201409","18211.516","18330.3306","17.7847","17.9007"
"http://eclipsedm.willis.com/2014/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201410","19770.9392","19808.9582","19.3076","19.3447"
"http://eclipsedm.willis.com/2014/11","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201411","17445.8083","17493.7652","17.0369","17.0838"
"http://eclipsedm.willis.com/2014/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201412","24101.6795","24180.0667","23.5368","23.6133"
"http://eclipsedm.willis.com/2015/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201501","30789.7567","30871.9545","30.0681","30.1484"
"http://eclipsedm.willis.com/2015/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201502","22680.1259","22749.292","22.1486","22.2161"
"http://eclipsedm.willis.com/2015/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201503","30317.8757","30416.3108","29.6073","29.7034"
"http://eclipsedm.willis.com/2015/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201504","43243.506","43345.0273","42.23","42.3291"
"http://eclipsedm.willis.com/2015/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201505","45650.605","45759.7419","44.5807","44.6872"
